width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
2.0,1.0,0.0,2.0,-0.5057707150245543,-0.6660052674484516,1.05427719045639,0.903346062226945,0.25,0.17,0.4330127018922193,0.375632799419859,nan,nan,1.0,1.0,nan
2.0,1.0,1.0,2.0,-0.8058924281568229,-0.7411786773187764,0.7763495184317003,0.8277376701626691,0.1,0.125,0.3,0.33071891388307384,nan,nan,1.0,1.0,nan
2.0,1.0,2.0,2.0,-0.8654351928355501,-0.8639877672223244,0.6516797782112481,0.7014350338051164,0.05,0.065,0.21794494717703367,0.246525860712421,nan,nan,1.0,1.0,nan
3.0,1.0,0.0,3.0,-0.9057707150245542,-0.9260052674484516,0.7038481425865472,0.6288906457927779,0.05,0.04,0.21794494717703367,0.19595917942265423,nan,nan,1.0,1.0,nan
3.0,1.0,1.0,3.0,-0.40589242815682297,-0.6411786773187764,1.017898598654012,0.9178147194100013,0.3,0.175,0.45825756949558394,0.3799671038392666,nan,nan,1.0,1.0,nan
3.0,1.0,2.0,3.0,0.03456480716444993,-0.0939877672223243,1.1028836931884969,1.1112911345664136,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
4.0,1.0,0.0,4.0,-0.1057707150245543,-0.2560052674484517,1.1145297877025317,1.072737718545055,0.45,0.375,0.49749371855331004,0.4841229182759271,nan,nan,1.0,1.0,nan
4.0,1.0,1.0,4.0,-0.905892428156823,-0.8611786773187764,0.6589765774667359,0.6993397284036397,0.05,0.065,0.21794494717703367,0.246525860712421,nan,nan,1.0,1.0,nan
4.0,1.0,2.0,4.0,0.03456480716444993,-0.17398776722232429,1.1028836931884969,1.1070272648645232,0.5,0.41,0.5,0.4918333050943175,nan,nan,1.0,1.0,nan
5.0,1.0,0.0,5.0,-0.9057707150245542,-0.8760052674484516,0.6503871414442367,0.7072490425306959,0.05,0.065,0.21794494717703367,0.246525860712421,nan,nan,1.0,1.0,nan
5.0,1.0,1.0,5.0,-0.0058924281568230085,-0.09117867731877648,1.0985006515330589,1.112676297838784,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
5.0,1.0,2.0,5.0,-0.16543519283555008,-0.4339877672223243,1.0829152154007895,1.0248202000417195,0.4,0.28,0.4898979485566356,0.44899888641287294,nan,nan,1.0,1.0,nan
6.0,1.0,0.0,6.0,0.19422928497544567,-0.1360052674484517,1.1430702116321896,1.0961769464616216,0.6,0.435,0.4898979485566356,0.4957569969249047,nan,nan,1.0,1.0,nan
6.0,1.0,1.0,6.0,-0.0058924281568230085,-0.09117867731877648,1.0985006515330589,1.112676297838784,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
6.0,1.0,2.0,6.0,-0.06543519283555002,-0.28398776722232427,1.1074753185171582,1.0763503260525058,0.45,0.355,0.4974937185533101,0.478513322698543,nan,nan,1.0,1.0,nan
8.0,1.0,0.0,8.0,-0.00577071502455432,-0.10600526744845173,1.13135298601773,1.0946967706758826,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
8.0,1.0,1.0,8.0,0.29410757184317704,-0.16117867731877647,1.0707386051042114,1.102250675485127,0.65,0.415,0.47696960070847283,0.49272203116970525,nan,nan,1.0,1.0,nan
8.0,1.0,2.0,8.0,0.03456480716444993,-0.0939877672223243,1.1028836931884969,1.1112911345664136,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
10.0,1.0,0.0,10.0,0.19422928497544567,-0.05600526744845173,1.1357951258336114,1.0978231776215974,0.6,0.475,0.4898979485566356,0.4993746088859544,nan,nan,1.0,1.0,nan
10.0,1.0,1.0,10.0,0.49410757184317705,0.008821322681223513,0.967197676794489,1.1215513244779343,0.75,0.5,0.4330127018922193,0.5,nan,nan,1.0,1.0,nan
10.0,1.0,2.0,10.0,0.03456480716444993,-0.0939877672223243,1.1028836931884969,1.1112911345664136,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
12.0,1.0,0.0,12.0,0.7942292849754458,-0.036005267448451735,0.828376876601573,1.1161224361138813,0.9,0.485,0.3,0.4997749493522059,nan,nan,1.0,1.0,nan
