width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
2.0,1.0,0.0,2.0,0.19236820193018114,0.11016435483915825,0.2945854478097676,0.2578781739667059,0.3,0.175,0.45825756949558394,0.3799671038392666,nan,nan,1.0,1.0,nan
2.0,1.0,1.0,2.0,0.08614632394655501,0.19451288722258414,0.25050188589012673,0.3083510121315228,0.15,0.31,0.3570714214271425,0.462493243193887,nan,nan,1.0,1.0,nan
2.0,1.0,2.0,2.0,0.08961598302164858,0.19523588801607594,0.24080724529132633,0.3078533550816965,0.15,0.31,0.3570714214271425,0.462493243193887,nan,nan,1.0,1.0,nan
3.0,1.0,0.0,3.0,0.2637783155032555,0.18465888629181404,0.2443459186627298,0.23524140140687677,0.65,0.485,0.47696960070847283,0.4997749493522059,nan,nan,1.0,1.0,nan
3.0,1.0,1.0,3.0,0.17989632394655503,0.11013788722258412,0.30239726907975145,0.25813345356307715,0.3,0.175,0.45825756949558394,0.3799671038392666,nan,nan,1.0,1.0,nan
3.0,1.0,2.0,3.0,0.30836598302164864,0.2827358880160759,0.33415207737332836,0.32455838759744476,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
4.0,1.0,0.0,4.0,0.317370072025911,0.2684709640823128,0.3215982491937554,0.3230444073711413,0.55,0.44,0.49749371855331,0.4963869458396343,nan,nan,1.0,1.0,nan
4.0,1.0,1.0,4.0,0.054896323946555,0.05667536936503255,0.22080807315357065,0.2048119693669737,0.1,0.09,0.3,0.2861817604250837,nan,nan,1.0,1.0,nan
4.0,1.0,2.0,4.0,0.18336598302164858,0.11086088801607594,0.3003232858649524,0.26030386845518555,0.3,0.175,0.45825756949558394,0.3799671038392666,nan,nan,1.0,1.0,nan
5.0,1.0,0.0,5.0,0.25486820193018117,0.26016435483915823,0.32718629223616763,0.3252704113500682,0.4,0.415,0.48989794855663565,0.49272203116970525,nan,nan,1.0,1.0,nan
5.0,1.0,1.0,5.0,0.273646323946555,0.2812050380538067,0.3277355280711672,0.3171375527983397,0.45,0.48,0.4974937185533101,0.49959983987187184,nan,nan,1.0,1.0,nan
5.0,1.0,2.0,5.0,0.27711598302164864,0.27336088801607594,0.3315956606469732,0.3241593303137584,0.45,0.435,0.49749371855331004,0.4957569969249047,nan,nan,1.0,1.0,nan
6.0,1.0,0.0,6.0,0.31736820193018117,0.29766435483915826,0.33577762972107994,0.32860812288279906,0.5,0.475,0.5,0.4993746088859544,nan,nan,1.0,1.0,nan
6.0,1.0,1.0,6.0,0.336146323946555,0.28826288722258414,0.3331087818343973,0.32282424721087283,0.55,0.46,0.49749371855331,0.49839743177508444,nan,nan,1.0,1.0,nan
6.0,1.0,2.0,6.0,0.18336598302164858,0.11086088801607594,0.3003232858649524,0.26030386845518555,0.3,0.175,0.45825756949558394,0.3799671038392666,nan,nan,1.0,1.0,nan
8.0,1.0,0.0,8.0,0.298896078784124,0.24932425270302314,0.3097510075786055,0.3065278411101197,0.55,0.45,0.49749371855331,0.4974937185533101,nan,nan,1.0,1.0,nan
8.0,1.0,1.0,8.0,0.273646323946555,0.2526661228368839,0.32706255615249447,0.3164788587049615,0.45,0.405,0.49749371855331004,0.4908920451586072,nan,nan,1.0,1.0,nan
8.0,1.0,2.0,8.0,0.30836598302164864,0.2827358880160759,0.33415207737332836,0.32455838759744476,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
10.0,1.0,0.0,10.0,0.31736820193018117,0.28203935483915826,0.33575579217969187,0.32784641904512724,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
10.0,1.0,1.0,10.0,0.4573897099171475,0.2689760919640621,0.2727653207902393,0.3096161745467563,0.8,0.47,0.4,0.49909918853871116,nan,nan,1.0,1.0,nan
10.0,1.0,2.0,10.0,0.30836598302164864,0.2827358880160759,0.33415207737332836,0.32455838759744476,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
12.0,1.0,0.0,12.0,0.31736820193018117,0.28203935483915826,0.33575579217969187,0.32784641904512724,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
12.0,1.0,1.0,12.0,0.304896323946555,0.3093883476386627,0.329909775534657,0.31157372727423244,0.5,0.54,0.5,0.49839743177508444,nan,nan,1.0,1.0,nan
12.0,1.0,2.0,12.0,0.30836598302164864,0.2827358880160759,0.33415207737332836,0.32455838759744476,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
16.0,1.0,0.0,16.0,0.4517470509001176,0.28671262065393943,0.2717668432873854,0.2979888324223065,0.8,0.555,0.4,0.4969657935914704,nan,nan,1.0,1.0,nan
