width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
256.0,1.0,0.0,256.0,0.5930700070868595,0.3585975823230942,0.11085924038999947,0.30629678705444274,1.0,0.63,0.0,0.4828043081829324,nan,nan,1.0,1.0,nan
256.0,1.0,1.0,256.0,0.5737848447355641,0.34219087384637087,0.1230085995448738,0.313357300156332,1.0,0.585,0.0,0.49272203116970525,nan,nan,1.0,1.0,nan
256.0,1.0,2.0,256.0,0.5949668847860484,0.3642944805733872,0.10622637766466256,0.3059550437188475,1.0,0.615,0.0,0.4865953144040744,nan,nan,1.0,1.0,nan
384.0,1.0,0.0,384.0,0.6164949498783214,0.3330159964091976,0.10204776414008757,0.31135364768036977,1.0,0.58,0.0,0.4935585071701227,nan,nan,1.0,1.0,nan
384.0,1.0,1.0,384.0,0.5943353475722684,0.3243178028612921,0.12489497740009822,0.3187585189054653,1.0,0.55,0.0,0.49749371855331004,nan,nan,1.0,1.0,nan
384.0,1.0,2.0,384.0,0.5567704611362605,0.2968629500679684,0.13750741045792392,0.3102653514603675,1.0,0.515,0.0,0.4997749493522059,nan,nan,1.0,1.0,nan
512.0,1.0,0.0,512.0,0.6103899456273182,0.31848917935564114,0.11299559567327484,0.31990240273719234,1.0,0.53,0.0,0.4990991885387111,nan,nan,1.0,1.0,nan
512.0,1.0,1.0,512.0,0.5838597582373036,0.3071278744190523,0.12382426295405526,0.30357706362890324,1.0,0.565,0.0,0.4957569969249047,nan,nan,1.0,1.0,nan
512.0,1.0,2.0,512.0,0.601188010806003,0.30159901548549656,0.10936176959654267,0.3081743679862821,1.0,0.535,0.0,0.49877349568717055,nan,nan,1.0,1.0,nan
768.0,1.0,0.0,768.0,0.5787211768041713,0.34852485124542304,0.12434363010827065,0.3072137398378629,1.0,0.605,0.0,0.4888506929523574,nan,nan,1.0,1.0,nan
768.0,1.0,1.0,768.0,0.5803020106348409,0.29859503902490825,0.12847593081902114,0.315055171679205,1.0,0.525,0.0,0.4993746088859544,nan,nan,1.0,1.0,nan
768.0,1.0,2.0,768.0,0.5920058452428966,0.3386024238578988,0.12291873260474243,0.3124697602578992,1.0,0.58,0.0,0.4935585071701227,nan,nan,1.0,1.0,nan
1024.0,1.0,0.0,1024.0,0.6012737072716816,0.3858875658042629,0.11065344292102255,0.30499415763752163,1.0,0.665,0.0,0.4719904660054056,nan,nan,1.0,1.0,nan
1024.0,1.0,1.0,1024.0,0.6000239478144063,0.3157194503396341,0.11348529349604332,0.3110237359523345,1.0,0.56,0.0,0.4963869458396343,nan,nan,1.0,1.0,nan
1024.0,1.0,2.0,1024.0,0.600767553681293,0.3387363629452897,0.11071751306760443,0.31519651516880354,1.0,0.565,0.0,0.4957569969249047,nan,nan,1.0,1.0,nan
