width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
1536.0,1.0,0.0,1536.0,0.967635606395584,0.71449341057151,0.16062317011102675,0.4505203202312346,0.99,0.73,0.099498743710662,0.4439594576084623,nan,nan,1.0,1.0,nan
1536.0,1.0,1.0,1536.0,0.9451214835056573,0.6953163566444737,0.19387207642109147,0.44287448553127223,0.99,0.745,0.099498743710662,0.43586121644395015,nan,nan,1.0,1.0,nan
1536.0,1.0,2.0,1536.0,0.9775135835862695,0.7537511562228799,0.12923618274944215,0.42990606668596787,1.0,0.77,0.0,0.4208325082500163,nan,nan,1.0,1.0,nan
2048.0,1.0,0.0,2048.0,0.9539475397938306,0.6981112078419272,0.1626144574631526,0.4373542689234412,1.0,0.765,0.0,0.4239988207530771,nan,nan,1.0,1.0,nan
2048.0,1.0,1.0,2048.0,0.972322536111763,0.7527994942669493,0.15538075306008656,0.43025387924988034,1.0,0.78,0.0,0.41424630354415964,nan,nan,1.0,1.0,nan
2048.0,1.0,2.0,2048.0,0.9777511642730773,0.7118809204221368,0.1496268862284271,0.4503906758037242,1.0,0.735,0.0,0.4413332074521472,nan,nan,1.0,1.0,nan
3072.0,1.0,0.0,3072.0,0.9431444283002433,0.7052461643359007,0.2016550694839651,0.4527816947050021,0.98,0.73,0.13999999999999999,0.4439594576084623,nan,nan,1.0,1.0,nan
3072.0,1.0,1.0,3072.0,0.9296931459018498,0.7298114704345089,0.20451096766281457,0.42759033685393516,0.99,0.775,0.099498743710662,0.41758232721225164,nan,nan,1.0,1.0,nan
3072.0,1.0,2.0,3072.0,0.9728795733905374,0.6938611887068152,0.1627207918598413,0.4526700870233585,0.99,0.73,0.099498743710662,0.4439594576084622,nan,nan,1.0,1.0,nan
4096.0,1.0,0.0,4096.0,0.9673270340436515,0.7363921651086155,0.1407941582244717,0.4319420652693895,1.0,0.765,0.0,0.4239988207530771,nan,nan,1.0,1.0,nan
4096.0,1.0,1.0,4096.0,0.9298120792218952,0.5361775017534118,0.21776868799813892,0.48004514162322515,1.0,0.59,0.0,0.4918333050943175,nan,nan,1.0,1.0,nan
4096.0,1.0,2.0,4096.0,0.9645514783120691,0.7324299827635884,0.15463059101504012,0.43510725218701024,1.0,0.76,0.0,0.4270831300812524,nan,nan,1.0,1.0,nan
