num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
8.0,4.0,5.0,0.784,0.06721235005562594,0.7699707134877469,0.08245735663100891,0.03687605093437579,0.07227705983137656,1.0,0.0,1.0,0.0
16.0,8.0,5.0,0.9339999999999999,0.030700162866017476,0.924970713487747,0.05156824458975172,0.023062020076604118,0.04520155935014407,1.0,0.0,1.0,0.0
24.0,12.0,5.0,0.974,0.013874436925511621,0.9549707134877469,0.02709397107546602,0.012116792221031021,0.023748912753220802,1.0,0.0,1.0,0.0
32.0,16.0,5.0,0.967,0.014832396974191338,0.9389707134877469,0.02887697349478289,0.012914175143758842,0.02531178328176733,1.0,0.0,1.0,0.0
48.0,24.0,5.0,0.967,0.009082951062292484,0.944970713487747,0.009703473145082124,0.004339525114049461,0.008505469223536944,1.0,0.0,1.0,0.0
64.0,32.0,5.0,0.9739999999999999,0.006519202405202654,0.9389707134877469,0.02196889606848576,0.009824788999952407,0.019256586439906718,1.0,0.0,1.0,0.0
96.0,48.0,5.0,0.982,0.004472135954999583,0.9479707134877469,0.021031768004807515,0.009405692589150945,0.018435157474735852,1.0,0.0,1.0,0.0
128.0,64.0,5.0,0.99,0.0050000000000000044,0.944970713487747,0.03118582556447502,0.013946725179323377,0.02733558135147382,1.0,0.0,1.0,0.0
192.0,96.0,5.0,0.9960000000000001,0.004183300132670382,0.9339707134877469,0.02344559530853997,0.010485188976569106,0.020550970394075448,1.0,0.0,1.0,0.0
256.0,128.0,5.0,0.998,0.002738612787525833,0.9149707134877468,0.05607502847293084,0.025077515101141916,0.04915192959823816,1.0,0.0,1.0,0.0
384.0,192.0,5.0,0.992,0.009082951062292484,0.8619707134877469,0.031891081001956825,0.014262124999265512,0.027953764998560404,1.0,0.0,1.0,0.0
512.0,256.0,5.0,0.9869999999999999,0.008366600265340763,0.687970713487747,0.0325924766112273,0.014575798651555245,0.02856856535704828,1.0,0.0,1.0,0.0
768.0,384.0,5.0,0.9960000000000001,0.004183300132670381,0.8689707134877468,0.05071809947048413,0.022681823621119722,0.04445637429739466,1.0,0.0,1.0,0.0
1024.0,512.0,5.0,0.9970000000000001,0.002738612787525833,0.9059707134877468,0.002607013759734413,0.0011658919970086903,0.002285148314137033,1.0,0.0,1.0,0.0
