width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
4.0,1.0,0.0,8.0,0.3850502706933065,0.35079777473018825,1.0216276642882358,1.0220079755646974,0.71,0.7,0.4537620521815371,0.458257569495584,nan,nan,1.0,1.0,nan
4.0,1.0,1.0,8.0,0.717607713302296,0.7304844722921138,0.862070032277564,0.8491663443556124,0.86,0.875,0.34698703145794946,0.33071891388307384,nan,nan,1.0,1.0,nan
4.0,1.0,2.0,8.0,0.60121036082427,0.5820138254351197,0.9489527503110526,0.9830632826678214,0.795,0.775,0.403701622488689,0.41758232721225164,nan,nan,1.0,1.0,nan
4.0,1.0,3.0,8.0,0.687633322164952,0.6485713477731655,0.8986191131091505,0.903428172536377,0.835,0.82,0.37118054905934933,0.3841874542459709,nan,nan,1.0,1.0,nan
4.0,1.0,4.0,8.0,0.4134400621278006,0.38783971464688205,1.0162301236143925,1.0221710891904432,0.72,0.715,0.44899888641287294,0.4514144437210666,nan,nan,1.0,1.0,nan
8.0,1.0,0.0,16.0,0.7750502706933066,0.7407977747301883,0.7929766553550222,0.7838592436620003,0.905,0.895,0.29321493822791495,0.3065534211193866,nan,nan,1.0,1.0,nan
8.0,1.0,1.0,16.0,0.8276077133022962,0.8504844722921138,0.7474800923918314,0.7091942149007356,0.915,0.935,0.2788816953476868,0.246525860712421,nan,nan,1.0,1.0,nan
8.0,1.0,2.0,16.0,0.9712103608242699,0.9820138254351197,0.5423152162950262,0.5658738495268739,0.98,0.975,0.13999999999999999,0.15612494995995996,nan,nan,1.0,1.0,nan
8.0,1.0,3.0,16.0,0.917633322164952,0.9185713477731654,0.7000544930769327,0.6412198409902938,0.95,0.955,0.21794494717703372,0.20730412441627882,nan,nan,1.0,1.0,nan
8.0,1.0,4.0,16.0,0.8134400621278007,0.757839714646882,0.7579778212747976,0.7593773312761184,0.92,0.9,0.2712931993250107,0.3,nan,nan,1.0,1.0,nan
12.0,1.0,0.0,24.0,0.8750502706933065,0.8407977747301882,0.6601908890342008,0.6654044138910292,0.955,0.945,0.20730412441627882,0.22798026230356,nan,nan,1.0,1.0,nan
12.0,1.0,1.0,24.0,0.927607713302296,0.8704844722921138,0.598553823643953,0.6719349634524391,0.965,0.945,0.1837797594948911,0.22798026230356,nan,nan,1.0,1.0,nan
12.0,1.0,2.0,24.0,0.9912103608242699,0.9720138254351197,0.517083240097195,0.5917556848634623,0.99,0.97,0.09949874371066199,0.1705872210923198,nan,nan,1.0,1.0,nan
12.0,1.0,3.0,24.0,0.977633322164952,0.9485713477731654,0.6059107742738888,0.5785942690240292,0.98,0.97,0.13999999999999999,0.1705872210923198,nan,nan,1.0,1.0,nan
12.0,1.0,4.0,24.0,0.9334400621278007,0.9178397146468821,0.5911633551989217,0.5479688648922216,0.98,0.98,0.13999999999999999,0.13999999999999999,nan,nan,1.0,1.0,nan
16.0,1.0,0.0,32.0,0.8650502706933065,0.8207977747301882,0.667613110566692,0.6832681971501486,0.95,0.935,0.2179449471770337,0.246525860712421,nan,nan,1.0,1.0,nan
16.0,1.0,1.0,32.0,0.9176077133022961,0.8504844722921138,0.615269420008608,0.7058426391386221,0.96,0.935,0.19595917942265428,0.246525860712421,nan,nan,1.0,1.0,nan
16.0,1.0,2.0,32.0,0.9812103608242699,0.9720138254351197,0.523717240903577,0.5917556848634623,0.985,0.97,0.12155245781143219,0.1705872210923198,nan,nan,1.0,1.0,nan
16.0,1.0,3.0,32.0,0.937633322164952,0.8585713477731655,0.6570335825879934,0.6746291168785591,0.96,0.925,0.19595917942265428,0.26339134382131846,nan,nan,1.0,1.0,nan
16.0,1.0,4.0,32.0,0.9334400621278007,0.887839714646882,0.5852674265535491,0.582774289951391,0.98,0.965,0.13999999999999999,0.1837797594948911,nan,nan,1.0,1.0,nan
24.0,1.0,0.0,48.0,0.9050502706933066,0.8807977747301883,0.6315364401840031,0.6150994626442707,0.97,0.965,0.1705872210923198,0.1837797594948911,nan,nan,1.0,1.0,nan
24.0,1.0,1.0,48.0,0.9176077133022962,0.8604844722921138,0.6459387563481952,0.70871892793384,0.96,0.94,0.19595917942265428,0.2374868417407584,nan,nan,1.0,1.0,nan
24.0,1.0,2.0,48.0,0.9612103608242699,0.9020138254351197,0.5701341120908691,0.7065370911813719,0.975,0.935,0.15612494995995996,0.246525860712421,nan,nan,1.0,1.0,nan
24.0,1.0,3.0,48.0,0.927633322164952,0.9085713477731655,0.6711957264466024,0.6226827527707806,0.955,0.95,0.20730412441627882,0.2179449471770337,nan,nan,1.0,1.0,nan
24.0,1.0,4.0,48.0,0.9234400621278007,0.8978397146468821,0.6093763581547678,0.5891990372385212,0.975,0.97,0.15612494995995996,0.1705872210923198,nan,nan,1.0,1.0,nan
32.0,1.0,0.0,64.0,0.9150502706933065,0.8907977747301882,0.6210307994720927,0.5934265991139803,0.975,0.97,0.15612494995995996,0.1705872210923198,nan,nan,1.0,1.0,nan
32.0,1.0,1.0,64.0,0.9276077133022962,0.8204844722921137,0.635624524924645,0.7470112507279285,0.965,0.92,0.1837797594948911,0.2712931993250107,nan,nan,1.0,1.0,nan
32.0,1.0,2.0,64.0,0.9712103608242699,0.9320138254351197,0.5550786907072577,0.670697698385263,0.98,0.95,0.13999999999999999,0.2179449471770337,nan,nan,1.0,1.0,nan
32.0,1.0,3.0,64.0,0.957633322164952,0.8985713477731655,0.5987351567715536,0.6349115019659071,0.97,0.945,0.1705872210923198,0.22798026230356,nan,nan,1.0,1.0,nan
32.0,1.0,4.0,64.0,0.9334400621278007,0.8478397146468821,0.5874722384024647,0.6690050777233326,0.98,0.945,0.13999999999999999,0.22798026230356,nan,nan,1.0,1.0,nan
48.0,1.0,0.0,96.0,0.9250502706933065,0.8307977747301882,0.594772872770475,0.6750614287885367,0.98,0.94,0.13999999999999999,0.23748684174075835,nan,nan,1.0,1.0,nan
48.0,1.0,1.0,96.0,0.947607713302296,0.8804844722921138,0.5991910470420081,0.6930116892096276,0.975,0.95,0.15612494995995996,0.21794494717703372,nan,nan,1.0,1.0,nan
48.0,1.0,2.0,96.0,0.9812103608242699,0.9220138254351197,0.5344543141139576,0.6552065764154507,0.985,0.945,0.12155245781143217,0.22798026230356,nan,nan,1.0,1.0,nan
48.0,1.0,3.0,96.0,0.987633322164952,0.9085713477731655,0.5769403861433762,0.6343974925894021,0.985,0.95,0.12155245781143217,0.21794494717703372,nan,nan,1.0,1.0,nan
48.0,1.0,4.0,96.0,0.9434400621278007,0.9378397146468821,0.5709762907268345,0.5069155012996804,0.985,0.99,0.12155245781143219,0.09949874371066199,nan,nan,1.0,1.0,nan
64.0,1.0,0.0,128.0,0.9350502706933065,0.7907977747301882,0.5747844872408954,0.7221507211202437,0.985,0.92,0.12155245781143217,0.2712931993250107,nan,nan,1.0,1.0,nan
64.0,1.0,1.0,128.0,0.977607713302296,0.8704844722921138,0.5346600961708289,0.6952800550463136,0.99,0.945,0.09949874371066199,0.22798026230356,nan,nan,1.0,1.0,nan
64.0,1.0,2.0,128.0,1.00121036082427,0.9420138254351197,0.49709742367713533,0.6144704756929771,0.995,0.955,0.07053367989832944,0.20730412441627882,nan,nan,1.0,1.0,nan
