width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
4.0,1.0,0.0,8.0,0.3844832236727499,0.474195271506269,1.0338063992581565,0.9929115814900735,0.7,0.73,0.458257569495584,0.4439594576084622,nan,nan,1.0,1.0,nan
4.0,1.0,1.0,8.0,0.44045731454418396,0.5274920018679551,0.9822988659156706,0.9725868616701919,0.735,0.75,0.4413332074521472,0.4330127018922193,nan,nan,1.0,1.0,nan
4.0,1.0,2.0,8.0,0.754689420018743,0.8537499658241819,0.7674978134947352,0.7670691497952882,0.895,0.91,0.3065534211193866,0.2861817604250837,nan,nan,1.0,1.0,nan
4.0,1.0,3.0,8.0,0.4640816726264616,0.6473484480104095,1.0355778193434044,0.8780583098219737,0.73,0.84,0.4439594576084623,0.36660605559646714,nan,nan,1.0,1.0,nan
4.0,1.0,4.0,8.0,0.3537484207498997,0.3629576491722882,1.0447691656916278,1.0903052713542076,0.665,0.69,0.4719904660054057,0.462493243193887,nan,nan,1.0,1.0,nan
8.0,1.0,0.0,16.0,0.6544832236727498,0.814195271506269,0.8848834204479915,0.743407474630228,0.835,0.9,0.37118054905934933,0.3,nan,nan,1.0,1.0,nan
8.0,1.0,1.0,16.0,0.830457314544184,0.8974920018679549,0.7094734114055588,0.6799604715811268,0.93,0.935,0.25514701644346144,0.24652586071242102,nan,nan,1.0,1.0,nan
8.0,1.0,2.0,16.0,0.804689420018743,0.9037499658241819,0.713274230755173,0.6915004829565901,0.92,0.935,0.2712931993250107,0.24652586071242102,nan,nan,1.0,1.0,nan
8.0,1.0,3.0,16.0,0.8740816726264617,0.8373484480104095,0.6954921417045079,0.680975054209401,0.935,0.935,0.246525860712421,0.246525860712421,nan,nan,1.0,1.0,nan
8.0,1.0,4.0,16.0,0.7437484207498997,0.7029576491722881,0.8413373005431785,0.8766591417158853,0.86,0.86,0.34698703145794946,0.34698703145794946,nan,nan,1.0,1.0,nan
12.0,1.0,0.0,24.0,0.7044832236727498,0.8341952715062689,0.8351262438017484,0.7262462366169419,0.86,0.91,0.3469870314579494,0.2861817604250837,nan,nan,1.0,1.0,nan
12.0,1.0,1.0,24.0,0.890457314544184,0.9674920018679549,0.6306840169760731,0.5865098924368155,0.96,0.97,0.19595917942265428,0.1705872210923198,nan,nan,1.0,1.0,nan
12.0,1.0,2.0,24.0,0.894689420018743,0.9637499658241819,0.5902791954876445,0.599238643523096,0.965,0.965,0.1837797594948911,0.1837797594948911,nan,nan,1.0,1.0,nan
12.0,1.0,3.0,24.0,0.9240816726264618,0.8473484480104095,0.650179099516275,0.6885018596076391,0.96,0.94,0.19595917942265428,0.23748684174075838,nan,nan,1.0,1.0,nan
12.0,1.0,4.0,24.0,0.9037484207498997,0.892957649172288,0.6895745262255368,0.6539840149380337,0.94,0.955,0.23748684174075838,0.20730412441627882,nan,nan,1.0,1.0,nan
16.0,1.0,0.0,32.0,0.8844832236727498,0.984195271506269,0.6567655903147089,0.5177510783911652,0.95,0.985,0.2179449471770337,0.12155245781143217,nan,nan,1.0,1.0,nan
16.0,1.0,1.0,32.0,0.900457314544184,0.9674920018679549,0.6127867540634676,0.5858194517665836,0.965,0.97,0.1837797594948911,0.1705872210923198,nan,nan,1.0,1.0,nan
16.0,1.0,2.0,32.0,0.884689420018743,0.983749965824182,0.6056176192094932,0.5689094088105443,0.96,0.975,0.19595917942265428,0.15612494995995996,nan,nan,1.0,1.0,nan
16.0,1.0,3.0,32.0,0.9540816726264617,0.8673484480104094,0.6007368950142222,0.64565695618424,0.975,0.95,0.15612494995995993,0.21794494717703372,nan,nan,1.0,1.0,nan
16.0,1.0,4.0,32.0,0.9637484207498997,0.902957649172288,0.6099141866530123,0.655965201636342,0.97,0.96,0.1705872210923198,0.19595917942265428,nan,nan,1.0,1.0,nan
24.0,1.0,0.0,48.0,0.9244832236727498,0.994195271506269,0.607556892828743,0.5068604105837718,0.97,0.99,0.1705872210923198,0.09949874371066199,nan,nan,1.0,1.0,nan
24.0,1.0,1.0,48.0,0.950457314544184,0.9574920018679549,0.5207314806012864,0.6247468276864429,0.99,0.965,0.09949874371066199,0.1837797594948911,nan,nan,1.0,1.0,nan
24.0,1.0,2.0,48.0,0.894689420018743,0.9737499658241819,0.5847939917380715,0.6002081739449395,0.965,0.97,0.1837797594948911,0.1705872210923198,nan,nan,1.0,1.0,nan
24.0,1.0,3.0,48.0,0.9640816726264617,0.8873484480104095,0.5944255034063604,0.5881177162431812,0.98,0.96,0.13999999999999999,0.19595917942265428,nan,nan,1.0,1.0,nan
24.0,1.0,4.0,48.0,0.9537484207498997,0.912957649172288,0.6273706492106684,0.6581240141918434,0.965,0.965,0.1837797594948911,0.1837797594948911,nan,nan,1.0,1.0,nan
32.0,1.0,0.0,64.0,0.9444832236727498,0.9341952715062689,0.5783737595788685,0.6182761635368965,0.98,0.96,0.13999999999999999,0.19595917942265428,nan,nan,1.0,1.0,nan
32.0,1.0,1.0,64.0,0.960457314544184,0.9774920018679549,0.5030268755843224,0.5945407346821769,0.995,0.975,0.07053367989832945,0.15612494995995996,nan,nan,1.0,1.0,nan
32.0,1.0,2.0,64.0,0.904689420018743,1.013749965824182,0.5567483604556195,0.5402827078019472,0.97,0.99,0.1705872210923198,0.09949874371066199,nan,nan,1.0,1.0,nan
32.0,1.0,3.0,64.0,0.9640816726264617,0.8473484480104095,0.5944255034063604,0.6477752187159579,0.98,0.94,0.13999999999999999,0.23748684174075838,nan,nan,1.0,1.0,nan
32.0,1.0,4.0,64.0,0.9637484207498997,0.9429576491722881,0.6068814741911701,0.598857609914499,0.97,0.98,0.1705872210923198,0.13999999999999999,nan,nan,1.0,1.0,nan
48.0,1.0,0.0,96.0,0.9644832236727499,0.9641952715062689,0.5467834576582874,0.5764043103205313,0.99,0.975,0.09949874371066199,0.15612494995995996,nan,nan,1.0,1.0,nan
